workerId,speakMaori,compMaori,maoriEducation,linguistics,age,gender,ethnicity,bornNz,island,outsideNz,regionMost,education,mediaMaori,socialMaori,children,maoriList,regionCurrentLive,duration,firstLang,firstLangCountry,otherLangs,hawaii,anyPolynesian,whichPolynesian,maoriRespect,maoriCompulsory,formerParticipants,maoriProf,ethnicity1,regionMost1,maoriExpo,regionCurrentLive1,maoriAttitude
nz_178,1,2,4,lang,18-29,woman,Asian,Yes,north,No,Auckland,undergraduate,5,4,No,7,Auckland,long,English,NZ,yue,No,No,None,5,5,No,3,Non M,north,9,north,10
nz_179,1,1,2,no,60,woman,European/P?keh?,Yes,north,No,Auckland,certificate or diploma,5,3,No,5,Auckland,long,English,NZ,None,No,No,None,5,5,No,2,Non M,north,8,north,10
nz_180,1,2,3,no,40-49,woman,European/P?keh?/M?ori,Yes,north,No,Gisborne,certificate or diploma,3,2,No,8,Waikato,short,English,NZ,None,No,No,None,5,5,No,3,M,north,5,north,10
nz_181,1,1,1,lang,18-29,woman,European/P?keh?,Yes,north,No,Auckland,undergraduate,3,2,No,4,Auckland,long,English,NZ,"deu,fra",No,No,None,5,5,No,2,Non M,north,5,north,10
nz_182,1,1,2,no,18-29,NB,European/P?keh?,Yes,north,No,Taranaki,graduate,4,4,No,5,Auckland,short,English,NZ,None,No,No,None,5,5,No,2,Non M,north,8,north,10
nz_183,1,1,1,no,30-39,woman,European/P?keh?,Yes,north,No,Auckland,certificate or diploma,4,3,Yes,7,Wellington,long,English,NZ,None,No,No,None,5,5,No,2,Non M,north,7,north,10
nz_184,1,1,1,no,40-49,woman,European/P?keh?,Yes,north,No,Waikato,certificate or diploma,4,5,Yes,8,Waikato,long,English,NZ,None,No,No,None,4,5,No,2,Non M,north,9,north,9
nz_185,1,1,1,no,18-29,woman,European/P?keh?,Yes,south,No,Otago,undergraduate,1,2,No,8,Otago,long,English,NZ,fra,No,No,None,4,4,No,2,Non M,south,3,south,8
nz_186,1,1,4,no,40-49,woman,European/P?keh?,Yes,south,No,Otago,undergraduate,2,4,No,3,Otago,long,English,NZ,None,No,No,None,5,5,No,2,Non M,south,6,south,10
nz_187,2,2,2,no,18-29,woman,European/P?keh?,Yes,north,No,Wellington,certificate or diploma,4,4,Yes,9,Wellington,long,English,NZ,None,No,No,None,5,5,No,4,Non M,north,8,north,10
nz_188,0,0,0,no,18-29,woman,European/P?keh?,Yes,north,No,Auckland,graduate,2,2,Yes,1,Auckland,long,English,NZ,None,No,No,None,4,4,No,0,Non M,north,4,north,8
nz_189,1,1,0,no,18-29,NB,European/P?keh?,Yes,north,No,Auckland,undergraduate,4,3,No,1,Auckland,long,English,NZ,None,No,No,None,5,5,No,2,Non M,north,7,north,10
nz_190,1,1,1,no,18-29,woman,European/P?keh?,Yes,south,No,Otago,graduate,4,2,No,9,Otago,long,English,NZ,fra,No,No,None,5,5,No,2,Non M,south,6,south,10
nz_191,2,2,4,no,40-49,woman,European/P?keh?/M?ori,Yes,south,No,Canterbury,graduate,5,4,Yes,9,Canterbury,long,English,NZ,None,No,No,None,5,5,No,4,M,south,9,south,10
nz_192,0,0,0,no,30-39,woman,European/P?keh?,Yes,north,No,Auckland,high school,4,4,Yes,5,Auckland,long,English,NZ,None,No,No,Samoan,3,2,No,0,Non M,north,8,north,5
nz_193,1,1,1,no,40-49,woman,European/P?keh?,Yes,south,No,Canterbury,certificate or diploma,5,5,Yes,7,Canterbury,long,English,NZ,spa,No,No,None,3,3,No,2,Non M,south,10,south,6
nz_194,1,1,0,no,30-39,woman,European/P?keh?,Yes,north,No,Auckland,high school,5,4,Yes,4,Waikato,short,English,NZ,None,No,No,None,4,4,No,2,Non M,north,9,north,8
nz_195,1,1,3,no,50-59,woman,European/P?keh?,Yes,south,No,Canterbury,certificate or diploma,3,3,No,4,Canterbury,long,English,NZ,None,No,No,None,4,4,No,2,Non M,south,6,south,8
